factor,current_points,n_triggered,n_not_triggered,mean_return_triggered_pct,mean_return_not_triggered_pct,mean_difference_pct,t_stat,p_value,permutation_p_value,permutation_p_value_bh,significant_at_1pct,significant_at_1pct_bh,directionally_consistent,mean_ic,ic_ir,n_ic_buckets,multivariate_coef_pct,multivariate_p_value
trend_down,-3,1510,4573,2.929,0.646,2.282,9.148,0.0,0.0002,0.00087,True,True,False,0.0426,0.282,23,2.311,0.0
adx_strong_trend,1,529,5554,-0.49,1.375,-1.866,-6.382,0.0,0.0002,0.00087,True,True,False,-0.0295,-0.171,19,-1.0465,0.00391
market_below_sma200,-2,1683,4400,3.393,0.379,3.013,16.307,0.0,0.0002,0.00087,True,True,False,0.165,0.901,7,2.6221,0.0
obv_bearish,-2,421,5662,0.193,1.289,-1.096,-4.081,5e-05,0.0036,0.0117,True,False,True,-0.0318,-0.278,22,-0.2469,0.49919
obv_bullish,1,489,5594,2.102,1.135,0.967,2.949,0.00332,0.0058,0.01256,True,False,True,0.0475,0.394,23,0.8905,0.00811
minervini_range_position,1,1987,4096,0.847,1.391,-0.544,-3.1,0.00195,0.0056,0.01256,True,False,False,0.0612,0.301,24,0.1409,0.59182
death_cross,-2,258,5825,2.214,1.169,1.045,1.612,0.10814,0.0246,0.04568,False,False,False,0.0041,0.034,19,0.3501,0.45331
trend_up,2,524,5559,0.753,1.256,-0.504,-1.859,0.06341,0.12557,0.18139,False,False,False,-0.0057,-0.029,23,-0.3207,0.42631
rsi_oversold_bounce,1,392,5691,1.78,1.174,0.606,1.232,0.21871,0.11218,0.18139,False,False,True,0.0276,0.195,19,1.5337,0.0001
atr_parabolic,-2,83,6000,0.554,1.222,-0.668,-1.031,0.3056,0.39832,0.51782,False,False,True,-0.0512,-0.412,16,0.8753,0.30936
stage2,2,1557,4526,1.314,1.178,0.135,0.725,0.46834,0.5215,0.61631,False,False,True,0.0709,0.356,24,0.9958,0.00092
stage4,-3,2635,3448,1.27,1.169,0.101,0.521,0.60233,0.59608,0.64575,False,False,False,-0.0284,-0.147,24,-0.7481,0.0025
golden_cross,1,57,6026,1.023,1.215,-0.192,-0.327,0.74466,0.85003,0.85003,False,False,False,0.0046,0.049,12,0.1746,0.8544
