factor,current_points,n_triggered,n_not_triggered,mean_return_triggered_pct,mean_return_not_triggered_pct,mean_difference_pct,t_stat,p_value,permutation_p_value,permutation_p_value_bh,significant_at_1pct,significant_at_1pct_bh,directionally_consistent,mean_ic,ic_ir,n_ic_buckets,multivariate_coef_pct,multivariate_p_value
trend_up,2,13639,34525,-0.194,0.076,-0.27,-5.306,0.0,0.0002,0.00037,True,True,False,-0.0219,-0.199,109,-0.1333,0.0616
trend_down,-3,4947,43217,0.684,-0.078,0.762,7.769,0.0,0.0002,0.00037,True,True,False,0.0297,0.314,109,0.6934,0.0
stage2,2,24207,23957,-0.1,0.101,-0.201,-4.069,5e-05,0.0002,0.00037,True,True,False,-0.0139,-0.111,109,0.026,0.71909
death_cross,-2,726,47438,0.794,-0.012,0.806,3.611,0.00033,0.0002,0.00037,True,True,False,0.0112,0.188,104,0.3484,0.09196
adx_strong_trend,1,10558,37606,-0.277,0.078,-0.355,-6.34,0.0,0.0002,0.00037,True,True,False,-0.0256,-0.262,109,-0.2662,0.00043
minervini_range_position,1,25220,22944,-0.097,0.107,-0.204,-4.114,4e-05,0.0002,0.00037,True,True,False,-0.0142,-0.127,109,-0.0207,0.75897
vix_stress,-2,3008,45156,1.012,-0.067,1.08,6.928,0.0,0.0002,0.00037,True,True,False,0.1127,0.47,22,0.8875,0.0
market_below_sma200,-2,2619,45545,0.84,-0.048,0.888,6.66,0.0,0.0002,0.00037,True,True,False,0.0851,0.383,21,0.518,0.0
stage4,-3,10451,37713,0.144,-0.04,0.184,2.696,0.00702,0.0024,0.004,True,True,False,0.0073,0.065,109,-0.2607,0.00109
atr_parabolic,-2,5183,42981,-0.176,0.021,-0.197,-2.787,0.00534,0.0148,0.0222,False,False,True,-0.0083,-0.099,108,0.1876,0.059
obv_bullish,1,3574,44590,0.105,-0.008,0.113,1.19,0.23428,0.23495,0.32039,False,False,True,-0.0012,-0.016,109,0.0021,0.98275
rsi_overbought_outside_strong_trend,-1,68,48096,-0.545,0.001,-0.546,-0.838,0.40523,0.39872,0.4984,False,False,True,-0.0112,-0.215,41,-0.4403,0.50483
golden_cross,1,721,47443,0.131,-0.002,0.133,0.636,0.52478,0.5221,0.55939,False,False,True,-0.0014,-0.027,105,0.2817,0.17051
obv_bearish,-2,4239,43925,0.054,-0.005,0.059,0.69,0.49036,0.4971,0.55939,False,False,False,0.0063,0.092,109,0.1616,0.06636
rsi_oversold_bounce,1,780,47384,-0.012,0.0,-0.012,-0.049,0.9613,0.95001,0.95001,False,False,False,0.0015,0.02,99,-0.1566,0.43024
