factor,current_points,n_triggered,n_not_triggered,mean_return_triggered_pct,mean_return_not_triggered_pct,mean_difference_pct,t_stat,p_value,permutation_p_value,permutation_p_value_bh,significant_at_1pct,significant_at_1pct_bh,directionally_consistent,mean_ic,ic_ir,n_ic_buckets,multivariate_coef_pct,multivariate_p_value
trend_down,-3,1937,19142,0.427,-0.133,0.561,3.311,0.00094,0.0002,0.0014,True,True,False,0.012,0.095,106,0.5745,0.00089
market_below_sma200,-2,1068,20011,1.58,-0.171,1.75,7.082,0.0,0.0002,0.0014,True,True,False,0.179,0.638,17,1.7262,0.0
adx_strong_trend,1,4692,16387,-0.242,-0.036,-0.206,-2.121,0.03394,0.04259,0.19876,False,False,False,-0.009,-0.077,106,-0.1008,0.42756
rsi_oversold_bounce,1,288,20791,0.577,-0.091,0.668,1.891,0.05957,0.06619,0.23165,False,False,True,0.0035,0.036,76,0.7199,0.05125
obv_bullish,1,1525,19554,0.169,-0.101,0.27,1.58,0.11424,0.09698,0.27155,False,False,True,-0.0024,-0.027,103,0.2309,0.16508
atr_parabolic,-2,2373,18706,-0.248,-0.061,-0.187,-1.43,0.15295,0.16157,0.32314,False,False,True,0.0007,0.006,103,-0.0453,0.78493
trend_up,2,6172,14907,-0.177,-0.043,-0.134,-1.507,0.13185,0.15577,0.32314,False,False,False,0.0037,0.026,106,-0.0387,0.74809
stage2,2,10897,10182,-0.128,-0.032,-0.096,-1.128,0.2594,0.25615,0.44826,False,False,False,0.0076,0.042,106,-0.0576,0.64072
rsi_overbought_outside_strong_trend,-1,43,21036,0.55,-0.083,0.634,0.562,0.57731,0.5059,0.5713,False,False,False,0.0005,0.007,29,0.76,0.42295
death_cross,-2,266,20813,0.186,-0.085,0.271,0.726,0.4682,0.4757,0.5713,False,False,False,0.0061,0.082,89,0.0208,0.95713
golden_cross,1,323,20756,-0.358,-0.078,-0.281,-0.913,0.36199,0.41892,0.5713,False,False,False,-0.0024,-0.032,90,-0.1956,0.57667
stage4,-3,4331,16748,-0.028,-0.096,0.067,0.572,0.56702,0.53049,0.5713,False,False,False,-0.0157,-0.096,106,-0.1861,0.17802
obv_bearish,-2,1831,19248,0.03,-0.093,0.122,0.833,0.40489,0.42452,0.5713,False,False,False,0.0138,0.16,106,0.1672,0.27223
minervini_range_position,1,11241,9838,-0.077,-0.088,0.011,0.132,0.89514,0.89002,0.89002,False,False,True,0.0012,0.008,106,0.2457,0.03286
