factor,current_points,n_triggered,n_not_triggered,mean_return_triggered_pct,mean_return_not_triggered_pct,mean_difference_pct,t_stat,p_value,permutation_p_value,permutation_p_value_bh,significant_at_1pct,significant_at_1pct_bh,directionally_consistent
vix_stress,-2,185,3486,16.636,7.469,9.167,3.61,0.00039,0.0002,0.0026,True,True,False
trend_down,-3,357,3314,6.205,8.117,-1.911,-1.381,0.16801,0.13197,0.43099,False,False,True
adx_strong_trend,1,791,2880,8.983,7.642,1.341,1.419,0.15606,0.14397,0.43099,False,False,True
golden_cross,1,33,3638,2.466,7.981,-5.515,-1.479,0.14867,0.16577,0.43099,False,False,False
minervini_range_position,1,1957,1714,8.549,7.225,1.324,1.722,0.08522,0.08638,0.43099,False,False,True
obv_bullish,1,297,3374,6.322,8.073,-1.751,-1.258,0.20938,0.20896,0.45274,False,False,False
death_cross,-2,42,3629,11.783,7.886,3.897,1.078,0.28735,0.27175,0.50467,False,False,False
stage2,2,1818,1853,8.166,7.701,0.465,0.609,0.54233,0.54929,0.64916,False,False,True
stage4,-3,711,2960,7.408,8.057,-0.648,-0.601,0.5482,0.5067,0.64916,False,False,True
rsi_oversold_bounce,1,126,3545,9.349,7.881,1.469,0.664,0.50807,0.47391,0.64916,False,False,True
atr_parabolic,-2,392,3279,8.589,7.852,0.737,0.583,0.55992,0.54449,0.64916,False,False,False
trend_up,2,1043,2628,7.739,8.007,-0.268,-0.333,0.73912,0.75645,0.75645,False,False,False
obv_bearish,-2,294,3377,8.376,7.892,0.483,0.387,0.69873,0.73825,0.75645,False,False,False
