factor,current_points,n_triggered,n_not_triggered,mean_return_triggered_pct,mean_return_not_triggered_pct,mean_difference_pct,t_stat,p_value,permutation_p_value,permutation_p_value_bh,significant_at_1pct,significant_at_1pct_bh,directionally_consistent,mean_ic,ic_ir,n_ic_buckets,multivariate_coef_pct,multivariate_p_value
trend_up,2,13374,31782,-0.216,-0.005,-0.21,-4.179,3e-05,0.0002,0.00093,True,True,False,-0.0189,-0.167,107,-0.1408,0.04076
trend_down,-3,4225,40931,0.329,-0.108,0.437,4.586,0.0,0.0002,0.00093,True,True,False,0.026,0.266,106,0.4716,0.0
adx_strong_trend,1,10306,34850,-0.273,-0.007,-0.267,-4.833,0.0,0.0002,0.00093,True,True,False,-0.0247,-0.24,107,-0.2428,0.00091
stage2,2,23459,21697,-0.143,0.014,-0.157,-3.246,0.00117,0.0008,0.0028,True,True,False,-0.0146,-0.117,107,-0.0322,0.64821
market_below_sma200,-2,1874,43282,-0.463,-0.05,-0.413,-3.073,0.00215,0.0012,0.00336,True,True,True,0.0675,0.302,17,-0.5566,1e-05
minervini_range_position,1,24280,20876,-0.123,-0.002,-0.121,-2.486,0.01294,0.0114,0.02659,False,False,False,-0.0145,-0.125,107,0.0175,0.79097
stage4,-3,9129,36027,0.05,-0.097,0.148,2.187,0.02875,0.0152,0.03039,False,False,False,0.0083,0.071,107,-0.0722,0.36574
atr_parabolic,-2,5142,40014,-0.19,-0.052,-0.139,-1.967,0.04925,0.07059,0.12353,False,False,True,-0.007,-0.08,106,0.1397,0.14269
death_cross,-2,599,44557,0.22,-0.071,0.292,1.366,0.17244,0.16837,0.23571,False,False,False,0.0078,0.133,101,0.0543,0.8011
obv_bearish,-2,4003,41153,0.04,-0.078,0.118,1.392,0.16411,0.15877,0.23571,False,False,False,0.0088,0.126,107,0.1811,0.03543
rsi_oversold_bounce,1,609,44547,0.136,-0.07,0.206,0.92,0.35773,0.33113,0.42144,False,False,True,-0.0031,-0.047,97,0.1756,0.40769
golden_cross,1,692,44464,0.108,-0.07,0.178,0.832,0.40549,0.36733,0.42855,False,False,True,-0.0006,-0.012,105,0.2914,0.14437
rsi_overbought_outside_strong_trend,-1,68,45088,-0.545,-0.067,-0.478,-0.734,0.4655,0.44031,0.47418,False,False,True,-0.0107,-0.205,41,-0.4662,0.45789
obv_bullish,1,3327,41829,-0.052,-0.069,0.016,0.173,0.86234,0.86083,0.86083,False,False,True,-0.0042,-0.061,107,-0.0566,0.54821
