factor,current_points,n_triggered,n_not_triggered,mean_return_triggered_pct,mean_return_not_triggered_pct,mean_difference_pct,t_stat,p_value,permutation_p_value,permutation_p_value_bh,significant_at_1pct,significant_at_1pct_bh,directionally_consistent,mean_ic,ic_ir,n_ic_buckets,multivariate_coef_pct,multivariate_p_value
trend_up,2,26790,63500,-0.211,-0.027,-0.183,-6.74,0.0,0.0002,0.00047,True,True,False,-0.0279,-0.342,107,-0.1467,9e-05
trend_down,-3,8452,81838,0.168,-0.108,0.275,5.231,0.0,0.0002,0.00047,True,True,False,0.0201,0.245,106,0.3225,0.0
adx_strong_trend,1,20639,69651,-0.228,-0.038,-0.19,-6.374,0.0,0.0002,0.00047,True,True,False,-0.0261,-0.348,107,-0.1057,0.00771
rsi_oversold_bounce,1,1206,89084,0.363,-0.088,0.451,3.976,7e-05,0.0002,0.00047,True,True,True,0.0115,0.222,103,0.4246,0.00025
atr_parabolic,-2,10365,79925,-0.253,-0.059,-0.194,-5.02,0.0,0.0002,0.00047,True,True,True,-0.019,-0.259,107,-0.0375,0.46736
market_below_sma200,-2,3387,86903,-0.462,-0.067,-0.396,-4.708,0.0,0.0002,0.00047,True,True,True,0.038,0.149,21,-0.4989,0.0
minervini_range_position,1,48504,41786,-0.123,-0.034,-0.089,-3.356,0.00079,0.0004,0.0007,True,True,False,-0.0095,-0.101,107,-0.0016,0.96505
stage2,2,46869,43421,-0.128,-0.032,-0.097,-3.664,0.00025,0.0004,0.0007,True,True,False,-0.0132,-0.134,107,0.0237,0.53598
stage4,-3,18217,72073,-0.016,-0.098,0.082,2.183,0.02906,0.0114,0.01773,False,False,False,0.0102,0.124,107,-0.0638,0.14077
golden_cross,1,1373,88917,0.092,-0.084,0.176,1.757,0.07917,0.10478,0.14669,False,False,True,0.0052,0.142,106,0.284,0.00916
rsi_overbought_outside_strong_trend,-1,134,90156,-0.553,-0.081,-0.472,-1.203,0.23114,0.17097,0.19946,False,False,True,-0.0157,-0.45,60,-0.384,0.26372
death_cross,-2,1185,89105,0.077,-0.084,0.161,1.388,0.16539,0.16097,0.19946,False,False,False,0.0062,0.156,105,-0.0057,0.96169
obv_bearish,-2,7986,82304,-0.05,-0.085,0.035,0.768,0.44226,0.45671,0.49184,False,False,False,0.0016,0.035,107,0.076,0.10487
obv_bullish,1,6599,83691,-0.066,-0.083,0.017,0.336,0.73681,0.74065,0.74065,False,False,True,0.0014,0.025,107,-0.0465,0.36562
